Rank,University,Location,Overall Score,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score
140,Queen Mary University of London,United Kingdom,62.3,36.1,42.3,97.1,72.5,98.0
141,University of Pittsburgh-Pittsburgh campus,United States,62.3,48.6,45.7,93.0,76.2,49.8
142,Radboud University Nijmegen,Netherlands,62.2,38.4,50.4,90.4,81.0,79.0
143,Texas A&M University,United States,62.2,52.7,57.3,74.3,73.2,64.3
144,University of Colorado Boulder,United States,62.2,47.0,52.6,86.6,73.3,56.3
145,Beijing Normal University,China,62.1,57.5,48.4,79.9,80.7,52.0
146,University of Bologna,Italy,62.1,53.1,47.7,83.8,79.8,57.0
147,University of York,United Kingdom,62.1,42.4,44.2,90.6,66.8,92.9
148,The University of Western Australia,Australia,62.0,37.8,47.2,87.6,98.3,93.0
149,University of Barcelona,Spain,62.0,41.6,50.1,90.2,80.5,65.6
150,Pohang University of Science and Technology (POSTECH),South Korea,61.9,55.9,50.0,78.8,100.0,43.0
151,Harbin Institute of Technology,China,61.8,57.3,55.2,74.7,99.9,33.7
152,University of Auckland,New Zealand,61.8,40.4,46.4,87.8,87.4,88.5
153,Scuola Normale Superiore di Pisa,Italy,61.7,59.5,46.5,82.6,36.4,59.0
154,Tongji University,China,61.7,51.6,53.3,72.8,99.0,70.1
155,University of Technology Sydney,Australia,61.7,35.2,42.5,94.9,88.2,93.0
156,Newcastle University,United Kingdom,61.4,37.1,42.9,93.0,82.9,90.8
157,University of Cologne,Germany,61.4,42.9,47.5,86.0,96.5,70.5
158,Case Western Reserve University,United States,61.2,51.1,40.3,88.6,70.9,66.3
159,TU Dresden,Germany,61.1,47.2,50.6,78.6,99.8,65.9
160,University of Liverpool,United Kingdom,61.1,40.1,40.7,92.1,65.7,95.5
161,The University of Osaka,Japan,61.0,63.5,65.4,51.8,100.0,50.7
162,University of Virginia (Main campus),United States,60.9,49.3,42.2,87.3,85.2,60.1
163,University of Waterloo,Canada,60.9,41.0,48.9,83.1,77.1,88.4
164,University of Wrzburg,Germany,60.9,39.8,44.1,92.7,99.9,61.0
165,Huazhong University of Science and Technology,China,60.8,46.7,48.4,88.3,99.7,33.0
166,Karlsruhe Institute of Technology,Germany,60.8,45.8,56.9,71.1,100.0,73.1
167,Dartmouth College,United States,60.7,56.8,39.4,83.2,75.9,60.5
168,Lancaster University,United Kingdom,60.7,41.6,40.8,89.1,66.4,96.2
169,University of Antwerp,Belgium,60.7,38.1,44.6,89.9,98.5,75.3
170,University of Geneva,Switzerland,60.6,43.2,39.0,86.4,84.0,96.5
171,Durham University,United Kingdom,60.4,43.6,43.9,83.7,62.5,95.5
172,National Taiwan University (NTU),Taiwan,60.4,53.3,54.6,69.0,100.0,55.0
173,University of Exeter,United Kingdom,60.4,34.8,42.3,94.9,56.0,94.9
174,Universit Catholique de Louvain,Belgium,60.2,39.4,49.4,81.1,94.0,82.6
175,King Fahd University of Petroleum and Minerals,Saudi Arabia,60.1,36.9,41.5,88.7,91.6,92.1
176,Pompeu Fabra University,Spain,60.1,36.0,44.6,90.0,83.9,82.2
177,Macquarie University,Australia,59.9,35.2,42.7,89.4,93.4,87.4
178,Tufts University,United States,59.8,50.7,36.3,89.1,72.7,63.1
179,University of Cape Town,South Africa,59.7,37.8,45.3,86.6,80.6,82.4
180,University of Macau,Macao,59.7,37.7,39.0,90.7,70.4,96.6
181,University of Twente,Netherlands,59.7,43.6,46.4,74.6,99.3,93.1
182,Southern University of Science and Technology (SUSTech),China,59.6,36.7,43.3,93.2,80.9,67.1
